,0,1,2,3,4,5,6
107,"So, the work of the engineers doing this, they are like the unsung heroes","If we don’t do this, the system will not work properly","And there’s a lot of hardcore engineering that’s got to get done at the hardware and software level, like I said, optimizing the C compiler and just cutting out latency everywhere",But going to the Moon is the hard part,"Like, the idea of going to the Moon is the easy part",And the implementation is the hard thing," Honestly, frankly, the ideas are the easy thing"
108,"If we don’t do this, the system will not work properly","And there’s a lot of hardcore engineering that’s got to get done at the hardware and software level, like I said, optimizing the C compiler and just cutting out latency everywhere",But going to the Moon is the hard part,"Like, the idea of going to the Moon is the easy part",And the implementation is the hard thing," Honestly, frankly, the ideas are the easy thing",—————————————-
109,"And there’s a lot of hardcore engineering that’s got to get done at the hardware and software level, like I said, optimizing the C compiler and just cutting out latency everywhere",But going to the Moon is the hard part,"Like, the idea of going to the Moon is the easy part",And the implementation is the hard thing," Honestly, frankly, the ideas are the easy thing",—————————————-, Okay.
110,But going to the Moon is the hard part,"Like, the idea of going to the Moon is the easy part",And the implementation is the hard thing," Honestly, frankly, the ideas are the easy thing",—————————————-, Okay.," Yeah, sure, let’s take a break."
111,"Like, the idea of going to the Moon is the easy part",And the implementation is the hard thing," Honestly, frankly, the ideas are the easy thing",—————————————-, Okay.," Yeah, sure, let’s take a break.", Do you need to take a break?
112,And the implementation is the hard thing," Honestly, frankly, the ideas are the easy thing",—————————————-, Okay.," Yeah, sure, let’s take a break.", Do you need to take a break?,It’s just there’s a little bit of audio that needs to be incorporated as well.
113," Honestly, frankly, the ideas are the easy thing",—————————————-, Okay.," Yeah, sure, let’s take a break.", Do you need to take a break?,It’s just there’s a little bit of audio that needs to be incorporated as well.,"Because you need listen for ambulance sirens or fire trucks, or if somebody’s yelling at you or something"
114,—————————————-, Okay.," Yeah, sure, let’s take a break.", Do you need to take a break?,It’s just there’s a little bit of audio that needs to be incorporated as well.,"Because you need listen for ambulance sirens or fire trucks, or if somebody’s yelling at you or something"," Yeah, well, we’ll actually need to incorporate sound as well"
115, Do you need to take a break?,It’s just there’s a little bit of audio that needs to be incorporated as well.,"Because you need listen for ambulance sirens or fire trucks, or if somebody’s yelling at you or something"," Yeah, well, we’ll actually need to incorporate sound as well",Okay.,"I guess we got ears, too",Same with humans
116,"Because you need listen for ambulance sirens or fire trucks, or if somebody’s yelling at you or something"," Yeah, well, we’ll actually need to incorporate sound as well",Okay.,"I guess we got ears, too",Same with humans," Right, yes","It’s all cameras, really."
117," Yeah, well, we’ll actually need to incorporate sound as well",Okay.,"I guess we got ears, too",Same with humans," Right, yes","It’s all cameras, really.", Fusion of the cameras
118,Okay.,"I guess we got ears, too",Same with humans," Right, yes","It’s all cameras, really.", Fusion of the cameras,"It’s very low density, it’s a deep cryogen, so it’s only liquid very close to absolute zero, requires a lot of insulation"
0," So ultimately, it’s kind of reducing the complexity of the whole thing.",So we need to redo all the training to train against the raw photon counts instead of the post-processed image.,"Then we need to move everything to raw photon counts as opposed to processed images, which is quite a big reset on the training because the system is trained on post-processed images","The efficiency of the training needs to get better, and it is",All of the training needs to move to surround video,There’s still some legacy networks that are not surround video,And just all of the networks in the car need to move to surround video
1,"It’s really outputting proper vectors to the C/ C++ control code, as opposed to this sort of constructing the vectors in C, which we’ve done, I think, quite a good job of, but it’s kind of hitting a local maximum on how well the C can do this","It’s outputting, “This this is a lane line, this is a curb, this is drivable space, this is a car, this is a pedestrian or cyclist,” or something like that"," It’s not even all neural nets, but this is a game-changer to not have the bag of points, the giant bag of points, that has to be assembled with many lines of C++, and have a neural net just assemble those into a vector, so that the neural net is outputting much, much less data","  Neural nets all the way down, so you want.",This is a big improvement.,But we need another layer of neural nets on top of that to take the giant bag of points and distill that down to vector space in the neural net part of the software as opposed to the heuristics part of the software,And it does a pretty good job of it
2,"It’s outputting, “This this is a lane line, this is a curb, this is drivable space, this is a car, this is a pedestrian or cyclist,” or something like that"," It’s not even all neural nets, but this is a game-changer to not have the bag of points, the giant bag of points, that has to be assembled with many lines of C++, and have a neural net just assemble those into a vector, so that the neural net is outputting much, much less data","  Neural nets all the way down, so you want.",This is a big improvement.,But we need another layer of neural nets on top of that to take the giant bag of points and distill that down to vector space in the neural net part of the software as opposed to the heuristics part of the software,And it does a pretty good job of it,Then you’ve got to assemble this giant bag of points in C code and turn it into vectors
3," It’s not even all neural nets, but this is a game-changer to not have the bag of points, the giant bag of points, that has to be assembled with many lines of C++, and have a neural net just assemble those into a vector, so that the neural net is outputting much, much less data","  Neural nets all the way down, so you want.",This is a big improvement.,But we need another layer of neural nets on top of that to take the giant bag of points and distill that down to vector space in the neural net part of the software as opposed to the heuristics part of the software,And it does a pretty good job of it,Then you’ve got to assemble this giant bag of points in C code and turn it into vectors,"So you got a pixel and something associated with that pixel – like, this pixel is probably car, that pixel is probably lane line"
4,"  Neural nets all the way down, so you want.",This is a big improvement.,But we need another layer of neural nets on top of that to take the giant bag of points and distill that down to vector space in the neural net part of the software as opposed to the heuristics part of the software,And it does a pretty good job of it,Then you’ve got to assemble this giant bag of points in C code and turn it into vectors,"So you got a pixel and something associated with that pixel – like, this pixel is probably car, that pixel is probably lane line",We call it the ‘giant bag of points’
5,"But just more neural net stuff, and less heuristics, basically","Over time, there’s less and less conventional software, more and more neural net – which is still software, it still comes down to lines of software","Andrej makes this point a lot, which is neural nets are kind of eating software","We have this working on like sort of alpha software, and it’s good, but it’s basically taking a whole bunch of C/C++ code and deleting a massive amount of C++ code and replacing it with the neural net","But there are just some really fundamental neural net architecture changes that will allow for much more capability, but at first, they’re going to have issues","11 would be a single stack for all… you know, one stack to rule them all", Yeah
6,"Over time, there’s less and less conventional software, more and more neural net – which is still software, it still comes down to lines of software","Andrej makes this point a lot, which is neural nets are kind of eating software","We have this working on like sort of alpha software, and it’s good, but it’s basically taking a whole bunch of C/C++ code and deleting a massive amount of C++ code and replacing it with the neural net","But there are just some really fundamental neural net architecture changes that will allow for much more capability, but at first, they’re going to have issues","11 would be a single stack for all… you know, one stack to rule them all", Yeah,"I mean, it’s a pretty cool number."
7,"Andrej makes this point a lot, which is neural nets are kind of eating software","We have this working on like sort of alpha software, and it’s good, but it’s basically taking a whole bunch of C/C++ code and deleting a massive amount of C++ code and replacing it with the neural net","But there are just some really fundamental neural net architecture changes that will allow for much more capability, but at first, they’re going to have issues","11 would be a single stack for all… you know, one stack to rule them all", Yeah,"I mean, it’s a pretty cool number.", So there is some fundamental leap that really deserves the 11
8,"We have this working on like sort of alpha software, and it’s good, but it’s basically taking a whole bunch of C/C++ code and deleting a massive amount of C++ code and replacing it with the neural net","But there are just some really fundamental neural net architecture changes that will allow for much more capability, but at first, they’re going to have issues","11 would be a single stack for all… you know, one stack to rule them all", Yeah,"I mean, it’s a pretty cool number.", So there is some fundamental leap that really deserves the 11,"We were hoping to get 11 out this year, but it’s… 11 actually has a whole bunch of fundamental rewrites on the neural net architecture and some fundamental improvements in creating vector space."
9,"But there are just some really fundamental neural net architecture changes that will allow for much more capability, but at first, they’re going to have issues","11 would be a single stack for all… you know, one stack to rule them all", Yeah,"I mean, it’s a pretty cool number.", So there is some fundamental leap that really deserves the 11,"We were hoping to get 11 out this year, but it’s… 11 actually has a whole bunch of fundamental rewrites on the neural net architecture and some fundamental improvements in creating vector space.", Yeah
10,"11 would be a single stack for all… you know, one stack to rule them all", Yeah,"I mean, it’s a pretty cool number.", So there is some fundamental leap that really deserves the 11,"We were hoping to get 11 out this year, but it’s… 11 actually has a whole bunch of fundamental rewrites on the neural net architecture and some fundamental improvements in creating vector space.", Yeah,"  So if you look… FSD 10.6 just came out recently, 10.7 is on the way, maybe 11 is on the way somewhere in the future?"
11, Yeah,"I mean, it’s a pretty cool number.", So there is some fundamental leap that really deserves the 11,"We were hoping to get 11 out this year, but it’s… 11 actually has a whole bunch of fundamental rewrites on the neural net architecture and some fundamental improvements in creating vector space.", Yeah,"  So if you look… FSD 10.6 just came out recently, 10.7 is on the way, maybe 11 is on the way somewhere in the future?","I think it’s got to be at least two or three times higher safety than a human, two or three times lower probability of injury than a human before we would actually say, “Okay, it’s okay to go.” It’s not gonna be equivalent, it’s gonna be much better."
12,"I mean, it’s a pretty cool number.", So there is some fundamental leap that really deserves the 11,"We were hoping to get 11 out this year, but it’s… 11 actually has a whole bunch of fundamental rewrites on the neural net architecture and some fundamental improvements in creating vector space.", Yeah,"  So if you look… FSD 10.6 just came out recently, 10.7 is on the way, maybe 11 is on the way somewhere in the future?","I think it’s got to be at least two or three times higher safety than a human, two or three times lower probability of injury than a human before we would actually say, “Okay, it’s okay to go.” It’s not gonna be equivalent, it’s gonna be much better.","Then, of course… then there’s going to be a case of… okay, well, we’ll now have to prove this to regulators and prove it… We want a standard that is not just equivalent to a human but much better than the average human"
13, Yeah,"  So if you look… FSD 10.6 just came out recently, 10.7 is on the way, maybe 11 is on the way somewhere in the future?","I think it’s got to be at least two or three times higher safety than a human, two or three times lower probability of injury than a human before we would actually say, “Okay, it’s okay to go.” It’s not gonna be equivalent, it’s gonna be much better.","Then, of course… then there’s going to be a case of… okay, well, we’ll now have to prove this to regulators and prove it… We want a standard that is not just equivalent to a human but much better than the average human",So it certainly appears like we will get there next year,"And that trend looks like what happens next year is that the probability of an accident on FSD is less than that of the average human, and then significantly less than that of the average human",The interventions per million miles has been dropping dramatically
14,"  So if you look… FSD 10.6 just came out recently, 10.7 is on the way, maybe 11 is on the way somewhere in the future?","I think it’s got to be at least two or three times higher safety than a human, two or three times lower probability of injury than a human before we would actually say, “Okay, it’s okay to go.” It’s not gonna be equivalent, it’s gonna be much better.","Then, of course… then there’s going to be a case of… okay, well, we’ll now have to prove this to regulators and prove it… We want a standard that is not just equivalent to a human but much better than the average human",So it certainly appears like we will get there next year,"And that trend looks like what happens next year is that the probability of an accident on FSD is less than that of the average human, and then significantly less than that of the average human",The interventions per million miles has been dropping dramatically,So like a disengagement be where the driver intervenes to prevent the car from doing something dangerous potentially
15,"Then, of course… then there’s going to be a case of… okay, well, we’ll now have to prove this to regulators and prove it… We want a standard that is not just equivalent to a human but much better than the average human",So it certainly appears like we will get there next year,"And that trend looks like what happens next year is that the probability of an accident on FSD is less than that of the average human, and then significantly less than that of the average human",The interventions per million miles has been dropping dramatically,So like a disengagement be where the driver intervenes to prevent the car from doing something dangerous potentially,"I mean, you can see that… anybody who has been following the full self-driving beta closely will see that the rate of disengagements has been dropping rapidly", Yeah
16,So it certainly appears like we will get there next year,"And that trend looks like what happens next year is that the probability of an accident on FSD is less than that of the average human, and then significantly less than that of the average human",The interventions per million miles has been dropping dramatically,So like a disengagement be where the driver intervenes to prevent the car from doing something dangerous potentially,"I mean, you can see that… anybody who has been following the full self-driving beta closely will see that the rate of disengagements has been dropping rapidly", Yeah,"And then there’s a certain level beyond which they can do their own, they can read a book."
17,"And that trend looks like what happens next year is that the probability of an accident on FSD is less than that of the average human, and then significantly less than that of the average human",The interventions per million miles has been dropping dramatically,So like a disengagement be where the driver intervenes to prevent the car from doing something dangerous potentially,"I mean, you can see that… anybody who has been following the full self-driving beta closely will see that the rate of disengagements has been dropping rapidly", Yeah,"And then there’s a certain level beyond which they can do their own, they can read a book.", And what is the solution look like? Is it the current pool of FSD beta candidates? They start getting greater and greater as there have been degrees of autonomy
18,The interventions per million miles has been dropping dramatically,So like a disengagement be where the driver intervenes to prevent the car from doing something dangerous potentially,"I mean, you can see that… anybody who has been following the full self-driving beta closely will see that the rate of disengagements has been dropping rapidly", Yeah,"And then there’s a certain level beyond which they can do their own, they can read a book.", And what is the solution look like? Is it the current pool of FSD beta candidates? They start getting greater and greater as there have been degrees of autonomy," I mean, it’s looking quite likely that it will be next year."
19,So like a disengagement be where the driver intervenes to prevent the car from doing something dangerous potentially,"I mean, you can see that… anybody who has been following the full self-driving beta closely will see that the rate of disengagements has been dropping rapidly", Yeah,"And then there’s a certain level beyond which they can do their own, they can read a book.", And what is the solution look like? Is it the current pool of FSD beta candidates? They start getting greater and greater as there have been degrees of autonomy," I mean, it’s looking quite likely that it will be next year.","Based on your current understanding, how hard do you think is this full self-driving problem? When do you think Tesla will solve level 4 FSD?"
20,"I mean, you can see that… anybody who has been following the full self-driving beta closely will see that the rate of disengagements has been dropping rapidly", Yeah,"And then there’s a certain level beyond which they can do their own, they can read a book.", And what is the solution look like? Is it the current pool of FSD beta candidates? They start getting greater and greater as there have been degrees of autonomy," I mean, it’s looking quite likely that it will be next year.","Based on your current understanding, how hard do you think is this full self-driving problem? When do you think Tesla will solve level 4 FSD?"," Well, let me ask, sort of looking back the six years, looking out into the future"
21, Yeah,"And then there’s a certain level beyond which they can do their own, they can read a book.", And what is the solution look like? Is it the current pool of FSD beta candidates? They start getting greater and greater as there have been degrees of autonomy," I mean, it’s looking quite likely that it will be next year.","Based on your current understanding, how hard do you think is this full self-driving problem? When do you think Tesla will solve level 4 FSD?"," Well, let me ask, sort of looking back the six years, looking out into the future", It’s like impossible maneuvers that a human couldn’t do.
22,"And then there’s a certain level beyond which they can do their own, they can read a book.", And what is the solution look like? Is it the current pool of FSD beta candidates? They start getting greater and greater as there have been degrees of autonomy," I mean, it’s looking quite likely that it will be next year.","Based on your current understanding, how hard do you think is this full self-driving problem? When do you think Tesla will solve level 4 FSD?"," Well, let me ask, sort of looking back the six years, looking out into the future", It’s like impossible maneuvers that a human couldn’t do.,"  That’s exactly what I was imagining in my mind, as you said it."
23,"Based on your current understanding, how hard do you think is this full self-driving problem? When do you think Tesla will solve level 4 FSD?"," Well, let me ask, sort of looking back the six years, looking out into the future", It’s like impossible maneuvers that a human couldn’t do.,"  That’s exactly what I was imagining in my mind, as you said it.","I mean, I think over time, the autopilot full self-driving will be capable of maneuvers that are far more than what James Bond could do in the best movie type of thing."," The cars will maneuver with superhuman ability and reaction time, much faster than a human", Got it.
24,"  That’s exactly what I was imagining in my mind, as you said it.","I mean, I think over time, the autopilot full self-driving will be capable of maneuvers that are far more than what James Bond could do in the best movie type of thing."," The cars will maneuver with superhuman ability and reaction time, much faster than a human", Got it., The car is just going to fundamentally maneuver better with lower jitter.,Okay., And that affects your control decisions and all those kinds of things
25," The cars will maneuver with superhuman ability and reaction time, much faster than a human", Got it., The car is just going to fundamentally maneuver better with lower jitter.,Okay., And that affects your control decisions and all those kinds of things,So getting rid of jitter is extremely important.,That’s basically random
26, Got it., The car is just going to fundamentally maneuver better with lower jitter.,Okay., And that affects your control decisions and all those kinds of things,So getting rid of jitter is extremely important.,That’s basically random,Now you got 100 milliseconds that you don’t know what to do with
27,Okay., And that affects your control decisions and all those kinds of things,So getting rid of jitter is extremely important.,That’s basically random,Now you got 100 milliseconds that you don’t know what to do with,"However, if you’ve got then 150 milliseconds of latency plus 100 milliseconds of jitter, which could be anywhere from zero to 100 milliseconds on top, then your latency could be from 150 to 250 milliseconds","Then you can say, “Okay, well, we know it’s 150 milliseconds, so we’re gonna take that into account and compensate for that latency."
28," If you have fixed latency, you can anticipate and say, “Okay, we know that our information is, for argument’s sake, 150 milliseconds stale.” For argument’s sake, a 150 milliseconds from photons taking camera to where you can measure a change in the acceleration of the vehicle","The jitter is in the sensor information, or the jitter can occur at any stage in the pipeline?",  So you have to interpolate somehow to deal with the effects of jitter so that you can make robust control decisions,And this could make a big difference.,"And that makes it hard to anticipate exactly how you should turn the car or accelerate because if you’ve got maybe 150, 200 milliseconds of jitter, then you could be off by about 2.2 seconds","Latency is like you can anticipate and predict, but if you’ve got a stack-up of things going from the camera to the computer, through then a series of other computers, and finally to an actuator on the car – if you have a stack-up of tolerances, of timing tolerances, then you can have quite a variable latency, which is called jitter","Actually, jitter is more of a challenge than the latency"
29,"The jitter is in the sensor information, or the jitter can occur at any stage in the pipeline?",  So you have to interpolate somehow to deal with the effects of jitter so that you can make robust control decisions,And this could make a big difference.,"And that makes it hard to anticipate exactly how you should turn the car or accelerate because if you’ve got maybe 150, 200 milliseconds of jitter, then you could be off by about 2.2 seconds","Latency is like you can anticipate and predict, but if you’ve got a stack-up of things going from the camera to the computer, through then a series of other computers, and finally to an actuator on the car – if you have a stack-up of tolerances, of timing tolerances, then you can have quite a variable latency, which is called jitter","Actually, jitter is more of a challenge than the latency","Then we want to update the drivers on the steering and braking control to have more like 100 Hertz instead of 10 Hertz, and then you get a 10-millisecond latency instead of 100 milliseconds worst-case latency."
30,There’s a little bit of C++ there as well,And we track latency all the way from photon hits the camera to all the steps that it’s got to go through to get… go through the various neural nets and the C code,"Basically, bypassing the image processor gets us back 13 milliseconds of latency, which is important"," Yes, because we’ve got eight cameras, and then there’s roughly one and a half milliseconds or so, maybe 1.6 milliseconds of latency for each camera", From removing the post-processing on the image?,And then we also save 13 milliseconds on latency.,"And even in very low light conditions, you can see that there’s a small photon count difference between the spot here and the spot there, which means that it can see in the dark incredibly well because it can detect these tiny differences in photon counts, like, much better than you would possibly imagine"
31,And we track latency all the way from photon hits the camera to all the steps that it’s got to go through to get… go through the various neural nets and the C code,"Basically, bypassing the image processor gets us back 13 milliseconds of latency, which is important"," Yes, because we’ve got eight cameras, and then there’s roughly one and a half milliseconds or so, maybe 1.6 milliseconds of latency for each camera", From removing the post-processing on the image?,And then we also save 13 milliseconds on latency.,"And even in very low light conditions, you can see that there’s a small photon count difference between the spot here and the spot there, which means that it can see in the dark incredibly well because it can detect these tiny differences in photon counts, like, much better than you would possibly imagine",It’s got much more data
32,"Basically, bypassing the image processor gets us back 13 milliseconds of latency, which is important"," Yes, because we’ve got eight cameras, and then there’s roughly one and a half milliseconds or so, maybe 1.6 milliseconds of latency for each camera", From removing the post-processing on the image?,And then we also save 13 milliseconds on latency.,"And even in very low light conditions, you can see that there’s a small photon count difference between the spot here and the spot there, which means that it can see in the dark incredibly well because it can detect these tiny differences in photon counts, like, much better than you would possibly imagine",It’s got much more data,The image that the computer sees is actually much more than what you would see if you represented it on a camera
33," Yes, because we’ve got eight cameras, and then there’s roughly one and a half milliseconds or so, maybe 1.6 milliseconds of latency for each camera", From removing the post-processing on the image?,And then we also save 13 milliseconds on latency.,"And even in very low light conditions, you can see that there’s a small photon count difference between the spot here and the spot there, which means that it can see in the dark incredibly well because it can detect these tiny differences in photon counts, like, much better than you would possibly imagine",It’s got much more data,The image that the computer sees is actually much more than what you would see if you represented it on a camera,"We just want the data, so we’re moving just raw photon counts."
34, From removing the post-processing on the image?,And then we also save 13 milliseconds on latency.,"And even in very low light conditions, you can see that there’s a small photon count difference between the spot here and the spot there, which means that it can see in the dark incredibly well because it can detect these tiny differences in photon counts, like, much better than you would possibly imagine",It’s got much more data,The image that the computer sees is actually much more than what you would see if you represented it on a camera,"We just want the data, so we’re moving just raw photon counts.",We don’t care about pictures looking pretty
35,We don’t care about pictures looking pretty,What happens for almost all cameras is that there’s a lot of post-processing done in order to make pictures look pretty,One of the things we’re moving towards now is no post-processing of the image through the image signal processor," High frame rate, low latency, low jitter","  And you want to achieve as many high frame rates like a video game? You want full resolution, high frame rate…","It’s like what our neural nets is, like, compute wise, like 99% dot products.","There’s actually a lot of work done by some very talented software engineers at Tesla that, at a very foundational level, to improve the efficiency of compute, and how we use the trip accelerators, which are basically doing matrix math dot products, like a bazillion dot products"
36,What happens for almost all cameras is that there’s a lot of post-processing done in order to make pictures look pretty,One of the things we’re moving towards now is no post-processing of the image through the image signal processor," High frame rate, low latency, low jitter","  And you want to achieve as many high frame rates like a video game? You want full resolution, high frame rate…","It’s like what our neural nets is, like, compute wise, like 99% dot products.","There’s actually a lot of work done by some very talented software engineers at Tesla that, at a very foundational level, to improve the efficiency of compute, and how we use the trip accelerators, which are basically doing matrix math dot products, like a bazillion dot products",We really put a lot of effort into the efficiency of our compute
37,One of the things we’re moving towards now is no post-processing of the image through the image signal processor," High frame rate, low latency, low jitter","  And you want to achieve as many high frame rates like a video game? You want full resolution, high frame rate…","It’s like what our neural nets is, like, compute wise, like 99% dot products.","There’s actually a lot of work done by some very talented software engineers at Tesla that, at a very foundational level, to improve the efficiency of compute, and how we use the trip accelerators, which are basically doing matrix math dot products, like a bazillion dot products",We really put a lot of effort into the efficiency of our compute,We want to try to have the highest frames per second possible within a sort of very finite amount of compute and power
38," High frame rate, low latency, low jitter","  And you want to achieve as many high frame rates like a video game? You want full resolution, high frame rate…","It’s like what our neural nets is, like, compute wise, like 99% dot products.","There’s actually a lot of work done by some very talented software engineers at Tesla that, at a very foundational level, to improve the efficiency of compute, and how we use the trip accelerators, which are basically doing matrix math dot products, like a bazillion dot products",We really put a lot of effort into the efficiency of our compute,We want to try to have the highest frames per second possible within a sort of very finite amount of compute and power, There’s a lot of hardcore software engineering at a very sort of bare metal level because we’re trying to do a lot of compute that’s constrained to our full self-driving computer
39,"  And you want to achieve as many high frame rates like a video game? You want full resolution, high frame rate…","It’s like what our neural nets is, like, compute wise, like 99% dot products.","There’s actually a lot of work done by some very talented software engineers at Tesla that, at a very foundational level, to improve the efficiency of compute, and how we use the trip accelerators, which are basically doing matrix math dot products, like a bazillion dot products",We really put a lot of effort into the efficiency of our compute,We want to try to have the highest frames per second possible within a sort of very finite amount of compute and power, There’s a lot of hardcore software engineering at a very sort of bare metal level because we’re trying to do a lot of compute that’s constrained to our full self-driving computer,So that’s why there’s a lot of people involved.
40,"There’s actually a lot of work done by some very talented software engineers at Tesla that, at a very foundational level, to improve the efficiency of compute, and how we use the trip accelerators, which are basically doing matrix math dot products, like a bazillion dot products",We really put a lot of effort into the efficiency of our compute,We want to try to have the highest frames per second possible within a sort of very finite amount of compute and power, There’s a lot of hardcore software engineering at a very sort of bare metal level because we’re trying to do a lot of compute that’s constrained to our full self-driving computer,So that’s why there’s a lot of people involved., Okay, Yeah.
41,We really put a lot of effort into the efficiency of our compute,We want to try to have the highest frames per second possible within a sort of very finite amount of compute and power, There’s a lot of hardcore software engineering at a very sort of bare metal level because we’re trying to do a lot of compute that’s constrained to our full self-driving computer,So that’s why there’s a lot of people involved., Okay, Yeah.,"And so you’re compiling the code down, that does all…"
42,We want to try to have the highest frames per second possible within a sort of very finite amount of compute and power, There’s a lot of hardcore software engineering at a very sort of bare metal level because we’re trying to do a lot of compute that’s constrained to our full self-driving computer,So that’s why there’s a lot of people involved., Okay, Yeah.,"And so you’re compiling the code down, that does all…",And you have to somehow figure out the scheduling across all of those things
43, There’s a lot of hardcore software engineering at a very sort of bare metal level because we’re trying to do a lot of compute that’s constrained to our full self-driving computer,So that’s why there’s a lot of people involved., Okay, Yeah.,"And so you’re compiling the code down, that does all…",And you have to somehow figure out the scheduling across all of those things,"Because there’s all kinds of computers, CPU, GPU, there’s like basic types of things"
44,So that’s why there’s a lot of people involved., Okay, Yeah.,"And so you’re compiling the code down, that does all…",And you have to somehow figure out the scheduling across all of those things,"Because there’s all kinds of computers, CPU, GPU, there’s like basic types of things", …like sort of efficiency here
45,"And so you’re compiling the code down, that does all…",And you have to somehow figure out the scheduling across all of those things,"Because there’s all kinds of computers, CPU, GPU, there’s like basic types of things", …like sort of efficiency here," Yeah, absolutely.",  So you want to compile the whole thing down with your own compiler…,"In fact, we’ve just recently done a new rev on a C compiler that will compile directly to our autopilot hardware."
46,  So you want to compile the whole thing down with your own compiler…,"In fact, we’ve just recently done a new rev on a C compiler that will compile directly to our autopilot hardware.","So, to get maximum performance, we actually wrote our own C compiler and are continuing to optimize our C compiler for maximum efficiency",And we have our own C compiler,I should say we’re really primarily running C here because C++ is too much overhead,We started off with simple neural nets that were basically image recognition on a single frame from a single camera and then trying to knit those together with it with C,"There’s so many layers, it’s crazy"
47,"So, to get maximum performance, we actually wrote our own C compiler and are continuing to optimize our C compiler for maximum efficiency",And we have our own C compiler,I should say we’re really primarily running C here because C++ is too much overhead,We started off with simple neural nets that were basically image recognition on a single frame from a single camera and then trying to knit those together with it with C,"There’s so many layers, it’s crazy"," If you see the full array of neural nets that are operating the cars, it’s kind of boggles the mind"," Oh, so every time there’s a new major version, you’ll rename it to something more ridiculous – or memorable and beautiful? Sorry, not ridiculous, of course."
48,And we have our own C compiler,I should say we’re really primarily running C here because C++ is too much overhead,We started off with simple neural nets that were basically image recognition on a single frame from a single camera and then trying to knit those together with it with C,"There’s so many layers, it’s crazy"," If you see the full array of neural nets that are operating the cars, it’s kind of boggles the mind"," Oh, so every time there’s a new major version, you’ll rename it to something more ridiculous – or memorable and beautiful? Sorry, not ridiculous, of course."," We re-architected the neural nets in the cars so many times, it’s crazy."
49,I should say we’re really primarily running C here because C++ is too much overhead,We started off with simple neural nets that were basically image recognition on a single frame from a single camera and then trying to knit those together with it with C,"There’s so many layers, it’s crazy"," If you see the full array of neural nets that are operating the cars, it’s kind of boggles the mind"," Oh, so every time there’s a new major version, you’ll rename it to something more ridiculous – or memorable and beautiful? Sorry, not ridiculous, of course."," We re-architected the neural nets in the cars so many times, it’s crazy.",I’m sure it will be equally as “Rick and Morty” like.
50,We started off with simple neural nets that were basically image recognition on a single frame from a single camera and then trying to knit those together with it with C,"There’s so many layers, it’s crazy"," If you see the full array of neural nets that are operating the cars, it’s kind of boggles the mind"," Oh, so every time there’s a new major version, you’ll rename it to something more ridiculous – or memorable and beautiful? Sorry, not ridiculous, of course."," We re-architected the neural nets in the cars so many times, it’s crazy.",I’m sure it will be equally as “Rick and Morty” like., Okay
51,"There’s so many layers, it’s crazy"," If you see the full array of neural nets that are operating the cars, it’s kind of boggles the mind"," Oh, so every time there’s a new major version, you’ll rename it to something more ridiculous – or memorable and beautiful? Sorry, not ridiculous, of course."," We re-architected the neural nets in the cars so many times, it’s crazy.",I’m sure it will be equally as “Rick and Morty” like., Okay, HydraNet – We’re changing the name to something else.
52," If you see the full array of neural nets that are operating the cars, it’s kind of boggles the mind"," Oh, so every time there’s a new major version, you’ll rename it to something more ridiculous – or memorable and beautiful? Sorry, not ridiculous, of course."," We re-architected the neural nets in the cars so many times, it’s crazy.",I’m sure it will be equally as “Rick and Morty” like., Okay, HydraNet – We’re changing the name to something else.,It’s this HydraNet of many…
53," Oh, so every time there’s a new major version, you’ll rename it to something more ridiculous – or memorable and beautiful? Sorry, not ridiculous, of course."," We re-architected the neural nets in the cars so many times, it’s crazy.",I’m sure it will be equally as “Rick and Morty” like., Okay, HydraNet – We’re changing the name to something else.,It’s this HydraNet of many…,It’s this iterative process
54,I’m sure it will be equally as “Rick and Morty” like., Okay, HydraNet – We’re changing the name to something else.,It’s this HydraNet of many…,It’s this iterative process,"  And I just think the data engine side of that, so getting the data to learn all the concepts that you’re saying now, is an incredible process","So even if that exceeds your time-based memory, it should not exceed your space memory."
55,It’s this HydraNet of many…,It’s this iterative process,"  And I just think the data engine side of that, so getting the data to learn all the concepts that you’re saying now, is an incredible process","So even if that exceeds your time-based memory, it should not exceed your space memory.",And that they’re probably going to cross the road type of thing,"So even if you have, for argument’s sake, five seconds of memory on a time basis, but let’s say you’re parked at a light, and you saw – use a pedestrian example – that people were waiting to cross the road, and you can’t quite see them because of an occlusion, but they might wait for a minute before the light changes for them to cross the road, you still need to remember that that’s where they were",And then you also need things to remember over time.
56,And then you also have things that are stale if you remember them for too long,You can run out of memory if you try to remember too much for too long,"You have to say like, how long do you want to remember things for and there’s a cost to remembering things for a long time",An important evolution of the neural nets in the car is memory across both time and space, Yes, That’s an important problem to solve.," Yeah, so that’s a…"
57,You can run out of memory if you try to remember too much for too long,"You have to say like, how long do you want to remember things for and there’s a cost to remembering things for a long time",An important evolution of the neural nets in the car is memory across both time and space, Yes, That’s an important problem to solve.," Yeah, so that’s a…"," Sometimes, I wish we never did figure out object permanence."
58,"You have to say like, how long do you want to remember things for and there’s a cost to remembering things for a long time",An important evolution of the neural nets in the car is memory across both time and space, Yes, That’s an important problem to solve.," Yeah, so that’s a…"," Sometimes, I wish we never did figure out object permanence.",It’s just behind your back.”
